search_code,code,name
tse_6415.tw,6415,矽力-KY
tse_6416.tw,6416,瑞祺電通
tse_6426.tw,6426,統新
tse_6431.tw,6431,光麗-KY
tse_6438.tw,6438,迅得
tse_6442.tw,6442,光聖
tse_6443.tw,6443,元晶
tse_6449.tw,6449,鈺邦
tse_6451.tw,6451,訊芯-KY
tse_6456.tw,6456,GIS-KY
tse_6464.tw,6464,台數科
tse_6477.tw,6477,安集
tse_6491.tw,6491,晶碩
tse_6504.tw,6504,南六
tse_6505.tw,6505,台塑化
tse_6515.tw,6515,穎崴
tse_6525.tw,6525,捷敏-KY
tse_6531.tw,6531,愛普*
tse_6533.tw,6533,晶心科
tse_6541.tw,6541,泰福-KY
tse_6552.tw,6552,易華電
tse_6558.tw,6558,興能高
tse_6573.tw,6573,虹揚-KY
tse_6579.tw,6579,研揚
tse_6581.tw,6581,鋼聯
tse_6582.tw,6582,申豐
tse_6591.tw,6591,動力-KY
tse_6592.tw,6592,和潤企業
tse_6598.tw,6598,ABC-KY
tse_6605.tw,6605,帝寶
tse_6625.tw,6625,必應
